index old.name new.name
1 subject subject
2 activity activity
3 tBodyAcc.mean...X tBodyAcc.mean.X
4 tBodyAcc.mean...Y tBodyAcc.mean.Y
5 tBodyAcc.mean...Z tBodyAcc.mean.Z
6 tBodyAcc.std...X tBodyAcc.std.X
7 tBodyAcc.std...Y tBodyAcc.std.Y
8 tBodyAcc.std...Z tBodyAcc.std.Z
43 tGravityAcc.mean...X tGravityAcc.mean.X
44 tGravityAcc.mean...Y tGravityAcc.mean.Y
45 tGravityAcc.mean...Z tGravityAcc.mean.Z
46 tGravityAcc.std...X tGravityAcc.std.X
47 tGravityAcc.std...Y tGravityAcc.std.Y
48 tGravityAcc.std...Z tGravityAcc.std.Z
83 tBodyAccJerk.mean...X tBodyAccJerk.mean.X
84 tBodyAccJerk.mean...Y tBodyAccJerk.mean.Y
85 tBodyAccJerk.mean...Z tBodyAccJerk.mean.Z
86 tBodyAccJerk.std...X tBodyAccJerk.std.X
87 tBodyAccJerk.std...Y tBodyAccJerk.std.Y
88 tBodyAccJerk.std...Z tBodyAccJerk.std.Z
123 tBodyGyro.mean...X tBodyGyro.mean.X
124 tBodyGyro.mean...Y tBodyGyro.mean.Y
125 tBodyGyro.mean...Z tBodyGyro.mean.Z
126 tBodyGyro.std...X tBodyGyro.std.X
127 tBodyGyro.std...Y tBodyGyro.std.Y
128 tBodyGyro.std...Z tBodyGyro.std.Z
163 tBodyGyroJerk.mean...X tBodyGyroJerk.mean.X
164 tBodyGyroJerk.mean...Y tBodyGyroJerk.mean.Y
165 tBodyGyroJerk.mean...Z tBodyGyroJerk.mean.Z
166 tBodyGyroJerk.std...X tBodyGyroJerk.std.X
167 tBodyGyroJerk.std...Y tBodyGyroJerk.std.Y
168 tBodyGyroJerk.std...Z tBodyGyroJerk.std.Z
203 tBodyAccMag.mean.. tBodyAccMag.mean
204 tBodyAccMag.std.. tBodyAccMag.std
216 tGravityAccMag.mean.. tGravityAccMag.mean
217 tGravityAccMag.std.. tGravityAccMag.std
229 tBodyAccJerkMag.mean.. tBodyAccJerkMag.mean
230 tBodyAccJerkMag.std.. tBodyAccJerkMag.std
242 tBodyGyroMag.mean.. tBodyGyroMag.mean
243 tBodyGyroMag.std.. tBodyGyroMag.std
255 tBodyGyroJerkMag.mean.. tBodyGyroJerkMag.mean
256 tBodyGyroJerkMag.std.. tBodyGyroJerkMag.std
268 fBodyAcc.mean...X fBodyAcc.mean.X
269 fBodyAcc.mean...Y fBodyAcc.mean.Y
270 fBodyAcc.mean...Z fBodyAcc.mean.Z
271 fBodyAcc.std...X fBodyAcc.std.X
272 fBodyAcc.std...Y fBodyAcc.std.Y
273 fBodyAcc.std...Z fBodyAcc.std.Z
296 fBodyAcc.meanFreq...X fBodyAcc.meanFreq.X
297 fBodyAcc.meanFreq...Y fBodyAcc.meanFreq.Y
298 fBodyAcc.meanFreq...Z fBodyAcc.meanFreq.Z
347 fBodyAccJerk.mean...X fBodyAccJerk.mean.X
348 fBodyAccJerk.mean...Y fBodyAccJerk.mean.Y
349 fBodyAccJerk.mean...Z fBodyAccJerk.mean.Z
350 fBodyAccJerk.std...X fBodyAccJerk.std.X
351 fBodyAccJerk.std...Y fBodyAccJerk.std.Y
352 fBodyAccJerk.std...Z fBodyAccJerk.std.Z
375 fBodyAccJerk.meanFreq...X fBodyAccJerk.meanFreq.X
376 fBodyAccJerk.meanFreq...Y fBodyAccJerk.meanFreq.Y
377 fBodyAccJerk.meanFreq...Z fBodyAccJerk.meanFreq.Z
426 fBodyGyro.mean...X fBodyGyro.mean.X
427 fBodyGyro.mean...Y fBodyGyro.mean.Y
428 fBodyGyro.mean...Z fBodyGyro.mean.Z
429 fBodyGyro.std...X fBodyGyro.std.X
430 fBodyGyro.std...Y fBodyGyro.std.Y
431 fBodyGyro.std...Z fBodyGyro.std.Z
454 fBodyGyro.meanFreq...X fBodyGyro.meanFreq.X
455 fBodyGyro.meanFreq...Y fBodyGyro.meanFreq.Y
456 fBodyGyro.meanFreq...Z fBodyGyro.meanFreq.Z
505 fBodyAccMag.mean.. fBodyAccMag.mean
506 fBodyAccMag.std.. fBodyAccMag.std
518 fBodyBodyAccJerkMag.mean.. fBodyBodyAccJerkMag.mean
519 fBodyBodyAccJerkMag.std.. fBodyBodyAccJerkMag.std
528 fBodyBodyAccJerkMag.meanFreq.. fBodyBodyAccJerkMag.meanFreq
531 fBodyBodyGyroMag.mean.. fBodyBodyGyroMag.mean
532 fBodyBodyGyroMag.std.. fBodyBodyGyroMag.std
541 fBodyBodyGyroMag.meanFreq.. fBodyBodyGyroMag.meanFreq
